CC,DD,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAmz_BBbpv,AAmz_BBgqt,Minimum
CChpx,DDcmp,37.10,78.17,16.49,53.71,97.56,72.10,26.83,16.49
,DDkrs,45.75,86.27,24.04,56.17,74.10,76.84,33.18,24.04
,DDlmr,37.95,79.83,9.80,50.43,92.59,63.27,28.44,9.80
CCfnw,DDqz,37.99,81.33,14.17,53.07,94.29,72.85,30.59,14.17
,DDmx,44.42,85.88,21.99,57.38,99.69,72.02,33.16,21.99
,DDkrs,27.32,78.09,6.21,49.51,88.24,60.26,27.55,6.21
CCbt,DDcwz,37.28,80.64,11.35,51.61,94.84,70.78,26.66,11.35
,DDmx,32.98,76.78,26.28,48.56,85.91,60.64,26.26,26.26
,DDbmz,40.24,83.06,18.78,56.69,97.23,73.57,32.10,18.78
Minimum,,27.32,76.78,6.21,48.56,74.10,60.26,26.26,6.21
