CC,DD,AAmz_BBcjx,AAmz_BBgqt,AApqr_BBbpv,AApqr_BBbkv,AApqr_BBnqx,Average
CCfnw,,-16.44,9.78,1.28,1.87,19.90,3.28
,  DDkrs,77.87,-93.37,-37.34,-65.84,1.38,-23.46
,  DDknr,-40.95,49.57,-24.82,74.12,32.26,18.04
,  DDgv,-54.38,44.68,99.86,63.73,27.45,36.27
,  DDqz,-48.28,38.26,-32.58,-64.51,18.50,-17.72
CChpx,,-13.79,11.51,37.89,-11.79,21.35,9.04
,  DDlmr,-53.44,-92.98,-36.43,0.17,3.31,-35.87
,  DDdlz,86.21,46.30,100.00,-58.35,29.16,40.66
,  DDmx,-39.93,50.77,-9.64,75.94,31.13,21.65
,  DDcmp,-48.00,41.97,97.62,-64.90,21.80,9.70
CCbt,,49.28,-56.27,-3.08,-29.59,-16.27,-11.18
,  DDbmz,-46.33,43.14,-30.05,-60.58,22.43,-14.28
,  DDcwz,79.46,-92.44,-42.47,-63.15,9.66,-21.79
,  DDmx,76.90,-94.42,88.60,61.06,0.78,26.58
,  DDmpy,87.09,-81.35,-28.38,-55.71,-97.93,-35.26
Average,,6.35,-11.66,12.03,-13.17,8.33,0.38
,  ,6.35,-11.66,12.03,-13.17,8.33,0.38
