DD,EE,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBgv_CCcqx,AApqr_BBnry_CCbpv,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs
Average,,-53.58,52.76,8.56,-21.97,71.74,-63.20,30.90
,  ,-53.58,52.76,8.56,-21.97,71.74,-63.20,30.90
DDmx,,-57.00,50.55,8.13,-23.51,51.24,-59.13,28.85
,  EEmz,-60.44,52.01,9.02,-22.41,77.60,3.55,30.03
,  EEbhk,-48.88,53.81,9.09,-18.73,-0.04,-88.08,30.11
,  EEqz,-61.69,45.82,6.27,-29.40,76.16,-92.87,26.40
DDcy,,-53.18,52.67,7.54,-22.02,81.13,-56.46,31.25
,  EEmpy,-44.27,56.44,6.09,-17.48,85.83,-87.93,35.00
,  EEcrv,-57.32,46.91,7.62,-27.82,77.77,-91.09,27.65
,  EEbkv,-57.96,54.65,8.91,-20.77,79.78,9.63,31.09
DDcjx,,-50.55,55.06,10.03,-20.39,82.86,-74.01,32.60
,  EEhq,-44.97,59.46,11.19,-16.81,86.38,-86.94,36.98
,  EEkqy,-50.98,56.16,11.02,-18.16,81.38,-44.60,31.88
,  EEdhv,-55.69,49.57,7.87,-26.20,80.83,-90.49,28.93
