CC,DD,AAmz_BBcjx,AAmz_BBgqt,AApqr_BBnqx,AApqr_BBbkv,AApqr_BBbpv
CCfnw,DDkrs,84.14,36.24,6.21,-66.00,99.10
,DDgv,90.26,-74.49,23.38,-51.43,-20.94
,DDqz,-9.91,-90.22,15.44,-53.20,-25.47
,DDknr,93.63,-71.07,31.34,82.46,-7.03
CChpx,DDlmr,-43.58,-91.88,9.58,65.52,-28.46
,DDdlz,-7.51,-74.38,25.88,-52.61,-12.87
,DDmx,-31.53,58.07,-96.10,-46.34,-4.07
,DDcmp,-39.35,-82.58,17.11,-52.88,-22.03
CCbt,DDbmz,89.37,-78.80,18.47,-51.25,-22.18
,DDmx,-44.38,-94.96,2.51,-67.24,97.65
,DDcwz,-46.03,-91.28,11.89,-58.41,-25.84
,DDmpy,94.68,56.42,25.73,76.07,-9.10
