Quarter,Month,Culture_Apartment,Culture_Concert,Culture_Library,Residential_House,Residential_Theatre,Service_Museum,Service_School
Q1,,42.04,2.85,92.95,57.49,16.07,27.16,78.49
,  January,47.75,7.36,96.41,66.77,17.11,31.73,86.62
,  November,53.38,13.49,92.95,73.09,16.86,35.02,90.03
,  October,42.04,2.85,93.01,57.49,16.07,27.16,78.49
Q2,,42.38,1.74,90.63,56.96,15.58,27.77,75.99
,  December,42.38,1.74,90.63,56.96,15.58,27.77,75.99
,  February,51.19,11.17,91.09,70.79,19.54,33.98,89.06
,  May,47.33,1.93,95.01,65.08,16.23,30.73,81.71
Q4,,35.51,0.76,91.66,53.91,14.68,26.40,73.07
,  June,46.58,3.62,94.25,64.82,17.26,29.96,80.82
,  March,50.60,7.33,91.75,67.24,16.47,32.66,86.92
,  November,35.51,0.76,91.66,53.91,14.68,26.40,73.07
Minimum,,35.51,0.76,90.63,53.91,14.68,26.40,73.07
,  ,35.51,0.76,90.63,53.91,14.68,26.40,73.07
