Characteristic,Intensity,2015_Michigan_Detroit,2015_Nevada_Las Vegas,2017_Michigan_Port Huron,2017_Nevada_Boulder City,2019_Michigan_Reno,2019_Nevada_Flint
Humidity,11-20,27.81,3.66,17.95,21.26,11.99,11.98
,Breeze,25.41,3.17,19.23,23.77,15.24,13.08
,High,24.97,0.81,16.16,17.74,9.77,8.43
Temperature,0-10,24.92,4.93,17.26,18.17,13.48,11.10
,Medium,21.41,0.67,16.70,18.86,9.46,10.85
,Storm,5.40,3.35,20.66,19.57,14.53,15.65
Wind,21-30,22.29,2.26,4.30,20.16,11.56,10.66
,Calm,25.86,2.91,18.37,23.13,14.16,13.12
,High,6.32,4.95,22.68,18.36,17.07,15.35
Maximum,,27.81,4.95,22.68,23.77,17.07,15.65
