CC,DD,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBbkv,AAcy_BBhpt
CCbt,,-65.93,-4.96,-3.26,24.10,-63.96,-25.89,70.35
,  DDdlz,-58.90,32.66,-3.79,-53.00,45.19,-72.46,99.09
,  DDlmr,-75.43,15.44,-24.45,-52.75,-91.20,-77.08,94.12
,  DDmx,-69.68,4.05,97.25,70.14,-95.68,49.14,-36.26
,  DDbmz,-60.87,-99.71,-6.02,80.84,-87.54,-80.28,98.62
,  DDqz,-64.78,22.74,-79.31,75.25,-90.58,51.21,96.19
CCfnw,,65.79,-3.06,-11.19,2.06,-62.28,3.05,44.61
,  DDcmp,67.67,24.97,-7.34,-49.65,-90.51,54.52,96.27
,  DDmx,71.09,32.30,-2.56,89.23,-80.97,57.91,99.89
,  DDkrs,56.53,8.34,-24.95,-53.78,35.16,-78.05,92.31
,  DDgv,69.20,-99.34,-5.85,-53.23,-84.63,-72.07,-29.75
,  DDcwz,64.44,18.45,-15.27,77.71,-90.44,52.95,-35.69
Average,,-0.07,-4.01,-7.23,13.08,-63.12,-11.42,57.48
,  ,-0.07,-4.01,-7.23,13.08,-63.12,-11.42,57.48
