CC,DD,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBhpt,AAcy_BBbkv
CChpx,,4.95,93.36,56.22,65.25,15.03,72.61,33.28
,  DDcmp,5.64,96.64,58.50,71.15,23.05,72.61,43.50
,  DDkrs,13.40,96.92,64.06,72.07,26.26,88.00,53.18
,  DDlmr,4.95,93.36,56.22,65.25,15.03,77.75,33.28
CCfnw,,1.17,90.20,55.30,64.89,15.44,76.69,33.31
,  DDkrs,1.17,90.20,55.30,64.89,15.44,76.69,33.31
,  DDqz,4.19,93.71,56.99,70.52,21.40,79.69,43.73
,  DDmx,12.58,93.62,62.35,73.30,24.67,83.04,52.21
CCbt,,1.98,89.99,53.93,65.30,14.73,73.33,32.81
,  DDcwz,4.40,93.39,55.83,67.91,20.57,73.33,39.89
,  DDbmz,10.18,96.81,62.48,72.53,24.01,81.17,46.75
,  DDmx,1.98,89.99,53.93,65.30,14.73,75.88,32.81
