Characteristic,Intensity,2015_Illinois_Chicago,2015_Maryland_Cambridge,2015_Massachusetts_Boston,2015_Massachusetts_Columbia,2016_Illinois_Lenox,2016_Maryland_Baltimore,2016_Massachusetts_Springfield
Maximum,,15.99,25.94,7.51,22.65,15.42,19.99,27.76
,  ,15.99,25.94,7.51,22.65,15.42,19.99,27.76
Humidity,,13.15,22.80,7.51,20.44,15.42,19.16,27.76
,  0-10,1.28,19.50,1.88,19.12,10.51,17.66,21.61
,  11-20,2.87,22.17,7.51,1.76,15.42,19.16,27.76
,  High,13.15,22.80,4.52,20.44,13.31,18.74,27.48
Temperature,,14.14,23.69,6.44,19.94,14.09,19.99,26.94
,  11-20,3.53,14.73,0.07,19.94,9.57,16.28,22.21
,  Medium,13.79,21.27,2.73,19.53,12.23,18.59,26.94
,  Storm,14.14,23.69,6.44,0.51,14.09,19.99,24.56
Wind,,15.99,25.94,3.89,22.65,15.02,19.41,26.88
,  0-10,15.99,25.94,2.84,22.65,15.02,19.41,9.53
,  21-30,11.49,20.35,1.67,20.89,9.17,18.75,26.88
,  Calm,14.05,23.50,3.89,21.87,14.38,6.28,6.26
