CC,DD,AAmz_BBdhv,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp
CCfnw,DDgv,-12.26,35.13,-79.16,-60.84,73.25,94.86,14.09,-36.87
,DDqz,-27.05,33.26,-85.15,-65.11,69.02,88.95,8.32,-46.02
,DDkrs,-26.32,25.09,-95.60,-70.19,56.82,86.71,2.70,-49.24
,DDknr,-3.56,47.00,-74.44,-52.83,74.73,-0.85,21.61,-28.00
CChpx,DDmx,-1.65,50.53,-72.99,-51.13,74.92,-98.52,21.07,-27.54
,DDlmr,-26.12,30.04,-93.04,-69.89,64.33,87.94,5.14,-48.28
,DDcmp,-19.33,35.58,-84.14,-63.38,70.36,91.98,10.27,-45.10
,DDdlz,-9.60,36.29,-78.77,-59.65,74.16,95.98,16.53,-31.12
CCbt,DDmx,-26.73,24.68,-96.39,-71.24,52.91,83.15,1.29,-50.82
,DDmpy,-8.79,40.79,-74.54,-53.31,75.14,99.12,18.54,-30.88
,DDcwz,-26.33,32.04,-86.03,-67.10,65.05,88.83,5.77,-50.35
,DDbmz,-18.31,35.39,-85.35,-62.15,71.16,93.16,11.86,-38.16
Average,,-17.17,35.49,-83.80,-62.23,68.49,67.61,11.43,-40.20
