Polluted element,Type of pollution,Florida_Albany_2016,Florida_Columbia_2017,Georgia_Baltimore_2017,Georgia_Tampa_2016,Georgia_Washington_2017,Maryland_Aberdeen_2016,Maryland_Fort Lauderdale_2017,Average
Air,Inorganic Fertilizers,62.80,-56.19,-3.29,-79.72,41.60,-32.32,85.52,2.63
,Light,59.86,-61.87,-10.96,-88.37,31.16,-35.10,82.04,-3.32
,Surface water,50.57,-70.37,-16.66,-95.66,20.23,-40.14,76.51,-10.79
,Urban Activities,46.53,-73.53,-28.76,97.19,14.35,-49.23,73.72,11.47
Soil,Chemical,54.25,-68.43,-16.34,-94.45,22.81,-41.09,74.18,-9.87
,Industrial,42.77,-78.29,-30.98,87.24,2.41,-54.83,68.34,5.24
,Inferior Irrigation,48.08,-71.09,-22.08,-9.69,16.29,-42.72,74.41,-0.97
,Noise,59.24,-60.27,-9.16,-86.48,32.06,-33.18,-9.31,-15.30
Water,Industrial,62.33,-59.19,-7.23,-85.31,39.62,-33.44,85.76,0.36
,Inorganic Fertilizers,45.91,-74.94,-29.49,93.90,9.74,-52.40,72.67,9.34
,Oxygen-depletion,49.16,-70.58,-21.29,-95.01,18.40,-41.88,75.82,-12.20
,Thermal,58.69,-62.02,-11.03,-90.52,29.30,-37.75,81.04,-4.61
Average,,53.35,-67.23,-17.27,-37.24,23.16,-41.17,70.06,-2.33
