Polluted element,Type of pollution,Florida_Columbia_2020,Florida_Fort Lauderdale_2021,Maryland_Baltimore_2018,Maryland_Tampa_2022,Average
Air,,16.29,-8.43,17.35,-10.27,3.73
,  Groundwater,72.46,28.04,-27.68,-81.88,-2.27
,  Light,-65.19,8.52,-47.79,37.67,-16.70
,  Noise,-53.00,-97.56,-11.81,-76.76,-59.78
,  Surface water,60.92,-0.87,81.45,28.16,42.41
,  Urban Activities,66.27,19.70,92.58,41.46,55.00
Soil,,17.78,-6.30,-27.24,-33.51,-12.32
,  Industrial,64.13,8.46,-41.15,39.00,17.61
,  Light,-50.67,32.89,-5.33,-75.38,-24.62
,  Solid Waste,68.51,23.54,-29.31,-85.89,-5.79
,  Surface water,-53.77,-99.21,-15.41,-81.18,-62.39
,  Thermal,60.70,2.81,-45.02,35.89,13.60
Water,,39.31,-9.71,17.30,-35.70,2.80
,  Groundwater,53.43,0.51,81.89,33.32,42.29
,  Inferior Irrigation,65.67,18.37,92.49,40.06,54.15
,  Inorganic Fertilizers,-60.73,24.58,-28.91,-81.89,-36.74
,  Noise,61.75,7.85,-45.00,-92.11,-16.88
,  Thermal,76.41,-99.85,-13.97,-77.89,-28.82
Average,,24.46,-8.15,2.47,-26.49,-1.93
,  ,24.46,-8.15,2.47,-26.49,-1.93
