Polluted element,Type of pollution,Maryland_Baltimore_2017,Maryland_Boulder City_2020,Maryland_Columbia_2015,Nevada_Aberdeen_2020,Nevada_Reno_2015
Air,Groundwater,64.27,-25.40,15.54,-77.76,-43.46
,Oxygen-depletion,61.68,98.11,8.29,-81.80,-47.25
,Solid Waste,-58.41,-13.45,28.83,53.76,-37.45
,Thermal,-78.98,94.79,0.42,43.55,-50.60
Soil,Chemical,-67.72,-27.08,12.09,-79.56,-45.91
,Industrial,68.23,-14.05,23.23,-75.31,-40.77
,Light,-68.52,-31.53,6.95,-82.31,81.79
,Thermal,-54.34,-6.05,-90.40,56.41,93.66
Water,Inferior Irrigation,-56.39,-12.39,-91.10,55.00,-36.11
,Noise,-70.15,95.16,5.98,43.66,-49.59
,Surface water,-67.89,-28.23,12.08,49.72,83.31
,Urban Activities,-61.67,-21.96,19.24,52.97,85.96
