DD,EE,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,Maximum
DDcjx,,24.30,8.70,26.44,17.03,12.47,26.61,13.94,26.61
,  EEbkv,24.30,8.70,1.02,17.03,12.47,26.61,6.64,26.61
,  EEkqy,20.87,2.59,26.44,10.38,10.48,20.88,13.94,26.44
,  EEdhv,21.24,3.69,23.82,14.56,11.63,23.93,4.38,23.93
DDmx,,21.26,3.78,27.84,12.98,12.19,24.02,14.79,27.84
,  EEmz,19.92,0.84,27.84,8.46,8.75,18.54,12.49,27.84
,  EEbhk,21.26,0.93,0.75,11.11,12.19,24.02,4.54,24.02
,  EEqz,20.45,3.78,27.44,12.98,10.50,21.40,14.79,27.44
DDcy,,23.63,4.62,27.13,13.44,12.25,23.78,15.98,27.13
,  EEbkv,19.77,1.23,27.13,8.47,4.66,18.80,13.11,27.13
,  EEmz,23.63,4.62,26.52,13.44,12.25,23.78,5.81,26.52
,  EEcrv,21.25,3.95,25.69,10.36,1.20,4.08,15.98,25.69
Maximum,,24.30,8.70,27.84,17.03,12.47,26.61,15.98,27.84
,  ,24.30,8.70,27.84,17.03,12.47,26.61,15.98,27.84
