Polluted element,Type of pollution,Georgia_Albany_2015,Georgia_Columbus_2022,Georgia_Rochester_2018,Minnesota_Hastings_2022,Minnesota_Minneapolis_2015,Minnesota_Washington_2018
Air,Chemical,22.02,-67.09,92.68,-8.72,79.22,-89.84
,Industrial,15.60,55.15,90.57,-16.27,77.37,35.76
,Noise,1.24,-78.93,-45.04,95.52,65.44,-7.54
,Solid Waste,6.55,53.80,85.71,-29.55,-56.57,32.31
Soil,Groundwater,15.93,-71.65,-37.31,-11.27,-51.93,35.78
,Light,2.00,50.52,-45.63,-32.98,70.94,29.66
,Oxygen-depletion,22.88,-66.59,-7.83,-7.24,81.29,-81.47
,Urban Activities,8.61,-76.67,87.36,-27.58,73.40,-95.30
Water,Inorganic Fertilizers,11.39,-73.66,88.29,-21.58,-52.89,-97.42
,Noise,28.85,-64.31,-33.10,-3.96,-51.60,-80.30
,Surface water,19.32,59.05,92.25,-10.17,79.53,37.19
,Thermal,2.66,52.02,-43.47,95.30,-57.03,-97.61
