CC,DD,EE,FF,AApqr_BBqz,AApqr_BBnqx,AApqr_BBlt,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBkrs,AAfnw_BBknr,AAfnw_BBbgp,Minimum
CCkqy,DDmx,EEmz,FFbpv,42.26,11.96,88.13,72.54,25.45,23.34,98.61,52.85,11.96
,DDbsz,EEhpx,FFbpv,37.21,8.95,86.84,64.67,30.82,15.90,95.12,49.08,8.95
,DDcwz,EEmz,FFbpv,36.80,4.49,80.07,58.71,27.89,15.95,92.34,46.04,4.49
CCbt,DDmpy,EEmz,FFgqt,40.93,9.83,86.87,68.15,31.62,20.58,90.57,86.03,9.83
,DDmx,EEmz,FFgqt,28.50,2.97,74.46,48.77,25.53,28.47,89.63,42.34,2.97
,DDhpt,EEhpx,FFgqt,35.48,5.05,83.01,59.71,27.77,15.73,93.96,46.98,5.05
CCcy,DDbkv,EEhpx,FFlmr,35.05,3.22,75.44,54.99,26.19,14.62,91.02,38.62,3.22
,DDhlt,EEhpx,FFlmr,41.23,10.26,88.63,70.86,32.36,21.77,97.67,51.91,10.26
,DDbmz,EEmz,FFlmr,35.66,3.34,85.38,64.22,28.67,17.96,94.44,48.33,3.34
Minimum,,,,28.50,2.97,74.46,48.77,25.45,14.62,89.63,38.62,2.97
