Polluted element,Type of pollution,Florida_Boulder City,Florida_Flint,Florida_Tampa,Michigan_Fort Lauderdale,Michigan_Port Huron,Michigan_Reno,Nevada_Detroit,Nevada_Las Vegas
Air,Industrial,-16.34,29.44,-84.45,80.86,5.07,-43.84,49.46,-58.33
,Surface water,-14.98,33.35,-71.90,98.95,17.14,-42.95,54.33,-52.16
,Thermal,-14.32,32.55,-79.41,-11.41,9.89,-38.88,52.46,-57.36
Soil,Chemical,-11.67,37.89,-70.84,-95.86,17.39,-39.99,54.64,-52.02
,Inorganic Fertilizers,-14.45,31.51,-82.64,86.83,8.59,-42.49,49.69,-55.82
,Light,-11.73,31.92,-78.35,-8.10,13.26,-36.93,53.88,-57.48
Water,Groundwater,-11.97,37.86,-70.93,-94.25,17.15,-35.20,55.75,-50.39
,Oxygen-depletion,-13.30,33.32,-82.82,88.25,13.34,-41.36,50.46,-54.16
,Solid Waste,-10.57,35.42,-76.23,-7.91,14.61,-36.57,58.56,-55.43
Average,,-13.26,33.70,-77.51,15.26,12.94,-39.80,53.25,-54.79
