DD,EE,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AAgqt_BBdfv_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AApqr_BBgv_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbpv,Average
DDmx,,-73.26,56.50,-18.40,38.94,-46.68,-45.02,10.05,86.50,1.08
,  EEqz,-72.36,61.20,-15.12,40.25,-42.86,-40.64,12.43,88.23,3.89
,  EEmz,-73.70,56.52,-20.70,36.86,2.00,-49.38,8.96,83.47,5.50
,  EEbhk,-73.71,51.78,-19.39,39.72,-99.19,-45.04,8.75,87.81,-6.16
DDcjx,,-69.76,61.29,-14.47,41.10,-60.92,-40.70,14.50,89.06,2.51
,  EEdhv,-68.97,63.29,-11.51,44.38,-39.73,-39.77,16.55,91.64,6.99
,  EEhq,-69.20,60.68,-16.84,39.46,-96.76,-40.30,15.75,89.44,-2.22
,  EEkqy,-71.11,59.91,-15.08,39.47,-46.27,-42.05,11.21,86.10,2.77
DDcy,,-70.72,56.95,-17.05,40.58,-45.31,-41.75,12.26,87.89,2.86
,  EEmpy,-70.19,52.96,-19.86,40.14,-96.29,-41.24,14.84,89.97,-3.71
,  EEbkv,-72.77,57.04,-18.52,38.56,4.93,-44.48,9.58,85.84,7.53
,  EEcrv,-69.20,60.86,-12.77,43.04,-44.58,-39.52,12.37,87.87,4.76
