Polluted element,Type of pollution,Maryland_Redmond_2020,Maryland_Rochester_2018,Minnesota_Baltimore_2018,Minnesota_Minneapolis_2020,Minnesota_Salem_2018,Oregon_Aberdeen_2020,Oregon_Hastings_2018,Oregon_Portland_2020,Average
Air,Chemical,75.68,-54.49,-10.79,-76.14,38.24,-34.61,91.73,25.86,6.93
,Oxygen-depletion,67.49,-55.77,-13.39,-86.01,34.41,-41.15,89.77,14.42,1.22
,Thermal,53.63,-59.53,-16.13,-91.78,-6.14,-45.89,85.61,1.75,-9.81
,Urban Activities,81.27,-52.92,-6.91,-66.89,44.76,-26.64,98.29,30.40,12.67
Soil,Groundwater,72.20,-53.06,-17.33,-78.46,39.83,-35.23,92.90,22.28,5.39
,Industrial,80.00,-54.93,-7.73,-66.38,44.26,-31.39,98.86,29.82,11.56
,Noise,66.11,-56.16,-14.51,-86.11,35.81,-42.69,88.69,8.60,-0.03
,Thermal,83.88,-54.45,-2.88,-60.18,49.03,-17.45,-99.91,31.69,-8.78
Water,Inorganic Fertilizers,81.21,-55.29,-5.91,-62.02,47.12,-21.53,99.20,30.03,14.10
,Light,61.68,-56.29,-15.80,-87.72,35.75,-44.66,85.84,5.44,-1.97
,Solid Waste,76.78,-50.43,-16.86,-72.04,42.01,-33.82,97.01,25.73,8.55
,Surface water,68.70,-53.42,-16.33,-83.32,38.23,-38.10,91.69,17.84,3.16
Average,,72.39,-54.73,-12.05,-76.42,36.94,-34.43,76.64,20.32,3.58
