Polluted element,Type of pollution,California_Berkeley_2020,California_Boston_2020,California_Rochester_2016,Massachusetts_Cambridge_2020,Massachusetts_Minneapolis_2016,Massachusetts_San Francisco_2020,Minnesota_Hastings_2020,Minnesota_Lenox_2016,Minnesota_Los-Angeles_2016,Average
Air,,-11.69,49.27,-90.10,11.88,71.73,-64.16,89.28,29.61,-36.41,5.49
,  Chemical,-21.49,39.53,-98.93,4.95,65.85,-72.59,81.32,23.97,-45.81,-2.58
,  Light,-11.18,47.71,-92.35,12.54,71.92,-63.94,87.25,28.49,-34.88,5.06
,  Solid Waste,-2.39,60.58,-79.01,18.16,77.42,-55.94,99.28,36.38,-28.54,13.99
Soil,,-17.74,44.64,-28.99,7.42,66.68,-69.32,86.24,25.05,-44.32,7.74
,  Groundwater,-18.79,45.86,-97.77,5.97,66.92,-72.72,84.49,24.07,-43.13,-0.57
,  Noise,-8.95,50.71,-88.73,14.74,73.58,-58.78,95.97,32.20,-34.24,8.50
,  Solid Waste,-25.49,37.35,99.52,1.55,59.54,-76.47,78.26,18.89,-55.60,15.28
Water,,-13.97,47.43,-60.35,8.95,70.11,-69.14,86.75,27.22,-39.27,6.41
,  Inorganic Fertilizers,-23.33,35.99,0.36,1.70,64.74,-76.59,77.16,22.31,-49.04,5.92
,  Surface water,-12.44,46.98,-96.99,9.98,69.69,-71.95,84.70,23.53,-39.70,1.53
,  Thermal,-6.15,59.31,-84.42,15.18,75.91,-58.87,98.38,35.81,-29.06,11.79
Average,,-14.47,47.11,-59.81,9.42,69.51,-67.54,87.42,27.29,-40.00,6.55
,  ,-14.47,47.11,-59.81,9.42,69.51,-67.54,87.42,27.29,-40.00,6.55
