Polluted element,Type of pollution,Michigan_Detroit_2017,Michigan_Rochester_2017,Minnesota_Hastings_2019,Minnesota_Minneapolis_2019,Minnesota_Port Huron_2019,Average
Air,,-7.21,-49.40,4.62,-12.07,17.86,-9.24
,  Groundwater,-33.26,-69.28,76.95,-95.22,-1.49,-24.46
,  Inorganic Fertilizers,-42.86,-85.45,67.83,18.46,-18.23,-12.05
,  Noise,-34.07,48.38,-59.40,24.73,-8.77,-5.83
,  Oxygen-depletion,81.36,-91.24,-66.89,3.76,99.92,5.38
Soil,,24.15,13.12,2.92,18.22,15.49,14.78
,  Groundwater,-47.91,-92.53,61.70,2.53,99.70,4.70
,  Solid Waste,84.24,41.00,-65.28,16.32,-23.29,10.60
,  Surface water,96.30,57.13,75.15,30.01,-3.64,50.99
,  Thermal,-36.03,46.88,-59.90,24.02,-10.82,-7.17
Water,,-1.54,-54.40,-31.05,-16.17,-20.02,-24.64
,  Inferior Irrigation,-1.02,44.40,-60.20,24.95,-16.35,-1.64
,  Light,95.69,-79.46,71.94,-99.53,-4.90,-3.25
,  Surface water,-53.31,-95.34,-69.56,2.71,-33.74,-49.85
,  Urban Activities,-47.50,-87.21,-66.39,7.20,-25.11,-43.80
Average,,5.14,-30.23,-7.84,-3.34,4.44,-6.37
,  ,5.14,-30.23,-7.84,-3.34,4.44,-6.37
