Quarter,Month,Culture_House,Culture_Museum,Residential_Hotel,Residential_School,Residential_Theatre,Service_Concert,Service_Library
Q1,,21.02,65.45,3.25,92.24,45.46,34.99,79.56
,  February,21.02,65.45,3.25,92.24,45.46,34.99,79.56
,  July,29.69,73.74,7.85,95.43,54.22,41.22,82.11
Q3,,22.71,71.83,3.20,93.91,47.70,37.55,80.73
,  March,22.71,71.83,3.20,93.91,47.70,37.55,80.73
,  November,32.00,75.83,15.59,97.05,60.49,43.21,87.17
Q4,,25.39,73.30,7.77,92.76,49.83,38.76,82.85
,  October,33.38,76.39,16.70,99.86,65.23,45.66,87.64
,  September,25.39,73.30,7.77,92.76,49.83,38.76,82.85
Minimum,,21.02,65.45,3.20,92.24,45.46,34.99,79.56
,  ,21.02,65.45,3.20,92.24,45.46,34.99,79.56
