Quarter,Month,Culture_Concert,Culture_Factory,Production_Apartment,Production_Theatre,Residential_Hotel,Residential_Museum,Residential_Workshop,Minimum
Q1,February,86.90,44.67,28.60,63.38,9.36,95.31,48.48,9.36
,July,83.90,41.96,26.80,59.61,8.88,86.39,50.30,8.88
,November,89.13,47.03,36.39,76.46,15.92,98.43,56.62,15.92
Q3,August,77.16,40.21,24.10,59.35,6.53,91.12,43.05,6.53
,March,85.19,41.12,28.13,62.37,10.86,94.01,52.31,10.86
,October,88.68,44.22,35.84,73.49,9.92,97.14,55.24,9.92
Q4,December,90.86,48.56,36.41,77.79,19.70,99.64,57.61,19.70
,January,87.81,45.90,34.79,68.65,12.49,96.51,87.44,12.49
,September,84.89,41.34,26.83,61.75,9.59,93.40,50.92,9.59
Minimum,,77.16,40.21,24.10,59.35,6.53,86.39,43.05,6.53
