CC,DD,AApqr_BBbkv,AApqr_BBbpv,AApqr_BBnqx,AAmz_BBhpt,AAmz_BBgqt,AAmz_BBcjx
CChpx,,39.83,74.77,4.83,79.48,22.84,56.03
,  DDkrs,48.78,81.83,19.72,91.95,31.51,66.35
,  DDlmr,39.83,74.77,4.83,79.48,22.84,56.03
,  DDcmp,42.81,78.63,7.97,86.98,26.72,62.25
CCbt,,33.62,66.31,2.70,79.44,19.99,49.96
,  DDbmz,44.00,79.42,9.55,79.44,28.58,62.35
,  DDcwz,41.94,74.46,5.60,81.44,20.98,58.41
,  DDmx,33.62,66.31,2.70,82.44,19.99,49.96
CCfnw,,37.66,71.11,2.98,83.88,21.51,51.99
,  DDkrs,37.66,71.11,2.98,83.88,21.51,51.99
,  DDqz,42.16,76.46,7.58,86.61,25.22,58.97
,  DDmx,45.30,78.62,17.54,89.11,31.81,65.83
Minimum,,33.62,66.31,2.70,79.44,19.99,49.96
,  ,33.62,66.31,2.70,79.44,19.99,49.96
