DD,EE,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,Maximum
DDcjx,,22.18,10.84,17.88,22.04,19.32,5.66,23.75,14.18,23.75
,  EEkqy,21.69,2.68,10.60,22.04,16.72,2.63,20.64,11.86,22.04
,  EEdhv,22.18,9.14,9.52,5.18,18.40,5.66,23.75,13.45,23.75
,  EEbkv,4.26,10.84,17.88,7.26,19.32,2.53,20.21,14.18,20.21
DDcy,,22.59,10.99,12.09,26.69,17.29,6.93,22.28,14.39,26.69
,  EEcrv,22.59,9.60,12.09,23.53,17.29,4.46,22.28,13.22,23.53
,  EEmz,3.08,10.99,11.99,26.69,6.05,6.93,18.37,14.39,26.69
,  EEbkv,21.17,8.99,10.35,19.40,4.58,0.31,17.53,11.71,21.17
DDmx,,23.19,9.66,15.08,27.87,18.27,6.36,20.65,12.26,27.87
,  EEqz,22.49,9.66,12.60,26.26,4.11,3.48,20.47,12.26,26.26
,  EEmz,3.51,8.67,9.06,27.87,14.01,0.42,17.75,11.94,27.87
,  EEbhk,23.19,9.10,15.08,27.06,18.27,6.36,20.65,1.71,27.06
