CC,DD,AApqr_BBlt,AApqr_BBqz,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBknr,AAfnw_BBbgp,AAcqx_BBgv,AAcqx_BBcjx,EE,FF
Minimum,,70.95,35.58,0.36,10.50,6.64,53.62,61.17,22.87,,
,  ,70.95,35.58,0.36,10.50,6.64,53.62,61.17,22.87,,
CCbt,,70.95,35.58,0.36,10.50,89.29,53.62,62.73,22.87,,
,  DDmx,70.95,35.58,0.36,10.50,89.29,53.62,62.99,22.87,EEmz,FFgqt
,  DDmpy,84.11,47.64,6.20,17.73,93.93,60.29,70.41,35.90,EEmz,FFgqt
,  DDhpt,78.30,41.16,4.77,14.33,94.52,57.25,62.73,29.17,EEhpx,FFlmr
CCkqy,,76.58,40.31,4.37,10.55,6.64,56.16,65.90,27.12,,
,  DDcwz,76.58,40.31,4.80,10.55,93.56,56.83,65.90,27.12,EEmz,FFgqt
,  DDbkv,88.13,52.37,10.34,14.28,6.64,62.60,71.72,36.37,EEmz,FFgqt
,  DDbsz,83.37,46.83,4.37,15.79,96.39,56.16,69.17,31.70,EEhpx,FFlmr
CCcy,,74.31,39.58,2.51,12.75,90.09,55.05,61.17,27.78,,
,  DDmx,85.17,47.05,5.86,16.48,96.84,61.64,71.33,36.51,EEhpx,FFlmr
,  DDbmz,78.03,44.41,6.24,15.45,95.90,55.05,61.17,31.73,EEmz,FFgqt
,  DDbkv,74.31,39.58,2.51,12.75,90.09,55.21,61.43,27.78,EEhpx,FFlmr
