CC,DD,AApqr_BBnqx,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBbpv,AAmz_BBgqt
CCbt,DDmpy,22.65,67.15,54.09,-10.62,-48.74,-88.86
,DDmx,2.40,-69.02,34.72,-40.29,62.42,30.12
,DDbmz,10.08,-63.48,51.37,-23.63,-47.08,35.68
,DDcwz,5.44,62.93,46.78,-25.19,-52.11,34.26
CCfnw,DDkrs,3.72,59.24,38.53,91.59,72.51,31.18
,DDmx,22.72,-59.09,56.13,-2.01,85.90,-88.26
,DDgv,12.70,66.10,-74.61,-19.31,-46.74,36.07
,DDqz,8.63,60.48,-89.12,-24.03,77.47,-93.30
CChpx,DDdlz,13.64,-61.53,55.57,-12.00,82.82,-89.33
,DDcmp,9.04,-68.90,59.15,-23.72,-48.13,36.59
,DDkrs,29.32,-58.89,-71.62,-1.65,87.54,-91.45
,DDlmr,3.09,-67.92,-83.46,-29.58,68.45,33.23
