DD,EE,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBlsx_CCkrs
DDcjx,,20.93,-6.09,-5.36,40.26,-58.63,26.96
,  EEdhv,52.08,25.25,90.84,71.86,-93.81,-25.18
,  EEbkv,-66.74,-95.91,-34.51,-47.80,-87.69,43.74
,  EEkqy,45.06,16.00,-41.67,68.33,32.03,99.33
,  EEhq,53.31,30.31,-36.11,68.64,-85.05,-10.03
DDmx,,-76.90,21.09,0.90,38.36,-25.12,9.03
,  EEmz,-81.80,8.10,84.32,-65.98,34.06,97.48
,  EEbhk,-75.02,26.97,-37.56,70.54,41.94,-15.32
,  EEksy,-72.74,30.04,-34.86,79.28,-84.49,-9.25
,  EEqz,-78.05,19.23,-8.28,69.61,-91.98,-36.80
DDcy,,-12.37,-7.18,25.66,7.14,-56.71,10.54
,  EEcrv,-81.70,22.46,-41.32,-59.26,-90.14,-27.68
,  EEmz,-71.40,32.61,94.10,-47.25,-85.42,-8.03
,  EEbkv,48.77,15.68,-42.53,66.33,35.46,93.61
,  EEmpy,54.86,-99.47,92.41,68.75,-86.73,-15.74
