DD,EE,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,Maximum
DDcy,,27.66,22.19,11.93,5.50,23.47,14.91,26.41,17.07,27.66
,  EEbkv,25.66,18.40,4.60,1.79,18.67,9.90,22.53,12.69,25.66
,  EEqz,27.66,19.32,3.26,2.27,17.24,13.67,24.64,15.31,27.66
,  EEdhv,25.37,22.19,11.93,5.50,23.47,14.91,26.41,17.07,26.41
DDmx,,27.33,20.57,10.03,4.18,18.50,14.54,25.70,16.21,27.33
,  EEkqy,17.77,19.33,5.71,2.13,17.10,10.09,25.70,14.65,25.70
,  EEmz,24.76,18.38,6.43,0.66,18.50,8.36,22.07,10.70,24.76
,  EEcrv,27.33,20.57,10.03,4.18,18.48,14.54,5.02,16.21,27.33
Maximum,,27.66,22.19,11.93,5.50,23.47,14.91,26.41,17.07,27.66
,  ,27.66,22.19,11.93,5.50,23.47,14.91,26.41,17.07,27.66
