DD,EE,AAgqt_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs,AAgqt_BBnqx_CCbpv,AApqr_BBlmr_CCcqx,AApqr_BBfnw_CCprw,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,Maximum
DDcy,,25.42,12.50,22.73,18.11,27.55,6.02,18.72,27.55
,  EEdhv,16.92,12.50,15.45,18.11,22.23,6.02,4.07,22.23
,  EEqz,10.37,10.75,22.73,14.58,27.55,4.56,7.14,27.55
,  EEbkv,25.42,8.39,13.23,12.91,5.60,1.24,18.72,25.42
DDmx,,26.52,9.71,22.42,15.49,27.07,4.76,21.59,27.07
,  EEcrv,12.29,9.71,22.42,15.49,21.75,4.76,21.59,22.42
,  EEmz,26.52,6.75,16.17,12.40,25.48,0.83,17.49,26.52
,  EEkqy,9.47,7.51,20.44,15.03,27.07,0.58,6.69,27.07
Maximum,,26.52,12.50,22.73,18.11,27.55,6.02,21.59,27.55
,  ,26.52,12.50,22.73,18.11,27.55,6.02,21.59,27.55
