CC,DD,AAmz_BBgqt,AAmz_BBdhv,AAmz_BBbpv,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAcy_BBbkv,AAcy_BBhpt
CChpx,,21.15,74.01,59.07,8.16,51.59,79.94,37.59,72.83
,  DDkrs,30.00,74.01,66.96,17.77,57.92,80.75,42.96,74.45
,  DDlmr,21.15,92.98,59.07,8.16,51.59,79.94,37.59,72.83
,  DDcmp,25.15,97.50,64.94,14.96,54.20,85.77,41.72,76.55
CCfnw,,19.49,91.22,57.31,5.17,50.38,79.06,36.43,72.48
,  DDkrs,19.49,91.22,57.31,5.17,50.38,79.27,36.43,72.48
,  DDqz,20.63,95.44,63.13,12.52,53.49,84.93,38.11,74.18
,  DDmx,30.22,99.68,66.59,17.75,55.35,79.06,41.66,77.83
CCbt,,19.45,89.84,57.64,3.74,49.69,74.10,30.32,64.26
,  DDbmz,28.46,97.66,65.72,16.33,55.12,85.45,42.07,75.10
,  DDcwz,20.77,92.18,61.17,9.88,52.64,74.10,37.91,74.84
,  DDmx,19.45,89.84,57.64,3.74,49.69,80.00,30.32,64.26
