Polluted element,Type of pollution,Maryland_Columbia_2017,Maryland_Port Huron_2015,Michigan_Aberdeen_2021,Michigan_Flint_2016,Michigan_Rochester_2017,Minnesota_Baltimore_2015,Minnesota_Detroit_2021,Minnesota_Minneapolis_2016,Average
Soil,,-61.48,50.27,-18.89,-66.98,29.50,-41.20,78.75,8.98,-2.63
,  Chemical,-55.02,53.57,-13.91,-81.19,37.25,-34.05,85.32,13.90,0.73
,  Industrial,-70.03,42.78,-29.18,-0.40,16.56,-49.20,63.77,-0.71,-3.30
,  Inorganic Fertilizers,-61.40,51.78,-18.92,-88.59,29.17,-41.41,81.28,9.89,-4.77
,  Solid Waste,-68.52,45.50,-25.89,-91.00,23.81,-46.52,67.85,6.21,-11.07
,  Surface water,-52.43,57.74,-6.57,-73.74,40.70,-34.84,95.54,15.59,5.25
Water,,-59.45,52.59,-15.98,-85.09,32.94,-39.36,84.30,10.37,-2.46
,  Groundwater,-58.62,53.48,-16.00,-88.80,36.93,-39.52,85.89,11.17,-1.93
,  Industrial,-52.59,58.94,-2.97,-73.88,41.29,-32.15,97.30,15.35,6.41
,  Inferior Irrigation,-69.27,44.51,-26.25,-98.26,20.96,-47.89,63.34,2.15,-13.84
,  Oxygen-depletion,-53.82,55.71,-12.35,-75.51,37.10,-33.18,95.25,14.17,3.42
,  Urban Activities,-62.96,50.32,-22.33,-89.01,28.44,-44.06,79.73,9.00,-6.36
Average,,-60.47,51.43,-17.44,-76.04,31.22,-40.28,81.53,9.67,-2.55
,  ,-60.47,51.43,-17.44,-76.04,31.22,-40.28,81.53,9.67,-2.55
