DD,EE,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCjwx,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz
DDcy,,13.55,26.82,7.56,19.75,20.70,14.90,12.60,25.08,25.39
,  EEmpy,13.55,26.82,7.56,19.75,20.70,14.90,7.39,25.08,13.37
,  EEbkv,2.23,20.03,1.71,8.11,17.56,10.07,1.35,15.74,22.14
,  EEcrv,6.09,22.43,4.88,13.29,18.45,6.75,12.60,17.55,25.39
DDcjx,,13.20,23.88,6.38,19.17,21.70,17.87,14.63,25.79,13.62
,  EEdhv,7.77,23.47,3.44,16.14,19.41,14.11,14.63,16.51,1.01
,  EEmz,13.20,1.50,6.38,19.17,21.70,17.87,1.82,25.79,13.62
,  EEkqy,0.63,23.88,2.73,8.64,17.80,11.83,9.60,20.51,3.47
DDmx,,15.94,27.96,6.08,17.25,19.30,14.09,11.24,24.84,22.00
,  EEbhk,10.59,27.96,6.08,17.25,19.30,14.09,4.14,24.84,12.37
,  EEmz,15.94,27.52,0.69,7.82,3.38,9.47,3.81,18.25,20.82
,  EEqz,4.91,26.29,2.20,0.23,5.70,12.15,11.24,20.99,22.00
Maximum,,15.94,27.96,7.56,19.75,21.70,17.87,14.63,25.79,25.39
,  ,15.94,27.96,7.56,19.75,21.70,17.87,14.63,25.79,25.39
