Polluted element,Type of pollution,Georgia_Albany_2019,Georgia_Minneapolis_2019,Georgia_Washington_2019,Minnesota_Columbus_2018,Minnesota_Rochester_2018
Air,Groundwater,-64.26,-25.64,15.31,46.48,83.87
,Inferior Irrigation,72.93,-16.05,-98.61,52.73,-36.75
,Inorganic Fertilizers,77.47,-3.80,33.57,-71.03,96.27
,Noise,-58.25,-21.53,18.78,-79.02,87.50
,Urban Activities,-69.55,-29.77,8.58,-90.40,80.12
Soil,Inferior Irrigation,55.51,-32.28,-0.44,-92.31,78.57
,Inorganic Fertilizers,61.88,99.44,8.94,-89.56,-47.86
,Solid Waste,-58.40,-8.15,31.18,-73.33,94.98
,Surface water,-61.10,-24.17,16.94,46.31,82.91
,Thermal,-56.61,-17.34,20.92,-78.39,-40.56
Water,Industrial,-67.48,-26.74,14.06,-88.20,80.53
,Light,-55.08,-16.74,23.76,-79.51,-37.62
,Oxygen-depletion,70.89,-21.07,16.03,48.73,-42.80
,Solid Waste,59.02,98.16,2.35,-91.70,79.57
,Urban Activities,-57.36,-6.57,32.13,56.27,-33.42
