CC,DD,AAmz_BBgqt,AAmz_BBcjx,AAmz_BBhpt,AApqr_BBbkv,AApqr_BBnqx,AApqr_BBbpv,Average
CCbt,DDcwz,36.86,-1.87,-28.12,71.26,14.28,-59.32,5.52
,DDbmz,41.01,-83.29,-22.79,78.80,20.43,-52.88,-3.12
,DDmx,48.72,11.76,-18.98,76.90,13.11,-52.94,13.09
,DDmpy,52.94,-77.55,-11.13,82.97,24.90,-44.46,4.61
CCfnw,DDknr,57.57,-72.12,-9.30,84.64,25.27,-43.28,7.13
,DDgv,42.00,-81.00,-18.67,78.86,22.21,-52.51,-1.52
,DDqz,37.86,-94.46,-28.76,75.64,16.54,-58.99,-8.70
,DDkrs,49.95,13.32,-16.61,78.81,17.45,-50.51,15.40
CChpx,DDdlz,51.12,-78.94,-16.10,81.34,23.93,-51.77,1.60
,DDlmr,50.27,13.88,-15.78,79.83,21.05,-47.19,17.01
,DDqtw,59.00,-69.28,-5.66,86.63,22.93,-42.87,8.46
,DDcmp,38.82,-92.89,-25.08,77.57,18.80,-55.19,-6.33
Average,,47.18,-51.04,-18.08,79.44,20.08,-50.99,4.43
