Quarter,Month,Culture_Concert,Culture_Hospital,Production_Factory,Production_Library,Production_Museum,Service_Administration,Service_Workshop,State,City
Q3,,62.65,22.23,2.23,40.78,75.58,55.85,10.90,,
,  August,65.93,27.35,6.64,50.46,79.84,55.85,17.65,Maryland,Aberdeen
,  July,62.65,22.23,2.23,40.78,75.58,56.36,10.90,Maryland,Aberdeen
,  October,71.44,32.09,8.76,52.00,87.83,60.59,20.41,Maryland,Aberdeen
Q4,,62.16,21.79,3.95,44.27,74.45,57.11,12.19,,
,  July,74.72,38.49,10.38,55.36,87.39,59.74,21.05,Maryland,Baltimore
,  November,68.75,30.58,7.91,51.64,80.89,59.57,17.68,Maryland,Baltimore
,  September,62.16,21.79,3.95,44.27,74.45,57.11,12.19,Maryland,Baltimore
Minimum,,62.16,21.79,2.23,40.78,74.45,55.85,10.90,,
,  ,62.16,21.79,2.23,40.78,74.45,55.85,10.90,,
