Polluted element,Type of pollution,Florida_Boulder City_2018,Florida_Salem_2016,Nevada_Fort Lauderdale_2019,Nevada_Las Vegas_2021,Nevada_Redmond_2018,Oregon_Portland_2021,Oregon_Reno_2019,Oregon_Tampa_2016,Average
Air,Groundwater,-46.17,78.80,-7.77,-62.81,44.95,13.21,-83.00,-23.75,-10.82
,Inorganic Fertilizers,-48.68,72.12,-8.89,-66.06,32.70,9.81,-40.23,-27.63,-9.61
,Noise,-50.31,68.35,-10.03,-70.06,30.06,10.40,-91.37,-30.05,-17.88
Soil,Industrial,-50.87,71.70,-10.90,-66.83,30.45,7.99,8.16,-27.65,-4.74
,Surface water,-47.49,70.23,-8.49,-64.83,42.19,12.77,-84.24,-25.31,-13.15
,Thermal,-52.90,64.76,-12.83,-72.96,27.17,8.22,-93.72,-32.05,-20.54
Water,Chemical,-51.10,70.16,-9.75,-68.91,42.28,10.37,-88.45,-28.44,-15.48
,Oxygen-depletion,-45.86,83.45,-5.61,-61.79,47.08,14.83,-81.15,-22.25,-8.91
,Solid Waste,-44.13,27.98,-8.34,-63.95,37.19,11.37,-86.90,-25.75,-19.07
Average,,-48.61,67.51,-9.18,-66.47,37.12,11.00,-71.21,-26.99,-13.35
