CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBqz,AApqr_BBlt,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBbgp,AAfnw_BBknr,EE,FF
CCcy,,29.67,60.18,39.21,75.78,1.69,15.67,52.25,85.72,,
,  DDbkv,29.67,60.18,39.21,75.78,1.69,15.67,52.25,85.72,EEmz,FFgqt
,  DDhpt,34.85,66.24,47.66,77.35,4.13,19.42,58.01,90.54,EEmz,FFgqt
,  DDmx,38.64,72.75,48.66,81.11,3.63,23.38,60.82,97.40,EEmz,FFgqt
CCbt,,28.64,61.98,39.14,73.82,0.89,8.02,50.80,83.97,,
,  DDbmz,34.39,71.12,48.07,78.34,5.25,20.69,59.75,96.17,EEmz,FFgqt
,  DDmx,28.64,61.98,39.14,73.82,0.89,8.02,50.80,83.97,EEmz,FFgqt
,  DDcwz,34.14,63.64,43.93,76.96,3.75,18.75,52.84,88.90,EEmz,FFgqt
Minimum,,28.64,60.18,39.14,73.82,0.89,8.02,50.80,83.97,,
,  ,28.64,60.18,39.14,73.82,0.89,8.02,50.80,83.97,,
