DD,EE,AAgqt_BBhpt_CCbt,AAgqt_BBdfv_CCbpv,AAgqt_BBfnw_CCkrs,AAhpx_BBbwx_CCbt,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBgv_CCcqx
Average,,55.07,-32.48,25.56,-8.68,-78.80,55.17,78.68,13.54,-56.68
,  ,55.07,-32.48,25.56,-8.68,-78.80,55.17,78.68,13.54,-56.68
DDcy,,45.88,-33.27,28.90,-8.47,-79.23,54.20,78.45,13.48,-57.19
,  EEbkv,92.88,-43.99,20.07,-16.39,-88.34,40.47,71.17,3.62,-63.20
,  EEcrv,95.62,-39.90,26.49,-9.98,-86.23,53.16,75.07,13.29,-60.22
,  EEmpy,91.59,-28.65,31.45,-5.11,-73.14,60.69,82.45,16.11,-56.31
,  EEjvz,-96.57,-20.52,37.60,-2.42,-69.22,62.46,85.10,20.89,-49.03
DDmx,,70.86,-34.58,28.69,-10.16,-80.62,53.39,76.35,11.69,-58.18
,  EEksy,-0.17,-20.59,36.43,-3.61,-71.40,63.34,84.98,17.06,-49.87
,  EEmz,91.76,-46.40,21.66,-17.60,-90.75,39.52,70.08,3.75,-64.91
,  EEbhk,97.42,-29.16,30.78,-6.28,-74.32,58.19,79.32,16.16,-57.89
,  EEqz,94.42,-42.17,25.90,-13.15,-86.02,52.50,71.02,9.80,-60.03
DDcjx,,48.48,-29.60,19.08,-7.40,-76.53,57.93,81.23,15.46,-54.68
,  EEhq,95.57,-25.74,-6.96,-4.34,-71.16,62.58,84.38,18.69,-50.11
,  EEmz,-91.16,-18.27,38.26,-1.22,-66.19,66.03,88.99,20.62,-48.97
,  EEkqy,93.78,-42.70,17.50,-16.47,-86.74,46.62,72.93,6.93,-61.39
,  EEdhv,95.75,-31.68,27.51,-7.56,-82.04,56.48,78.64,15.60,-58.26
