DD,EE,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBgv_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,Average
DDcy,,42.04,47.67,38.79,-63.25,-20.84,-48.12,68.91,9.31
,  EEmz,-33.79,52.16,-0.15,-97.65,-7.02,-87.72,72.54,-14.52
,  EEqz,86.13,47.31,62.36,-99.48,-23.22,-89.77,68.57,7.41
,  EEbkv,73.78,43.54,54.16,7.38,-32.29,33.12,65.63,35.05
DDmx,,-5.13,46.66,14.43,-23.23,57.60,-17.12,24.05,13.89
,  EEmz,-55.17,40.72,-76.49,4.74,96.26,-0.08,-63.20,-7.60
,  EEcrv,-36.13,51.84,63.94,-99.80,-22.49,-88.96,71.74,-8.55
,  EEkqy,75.91,47.43,55.84,25.37,99.02,37.67,63.60,57.83
Average,,18.45,47.17,26.61,-43.24,18.38,-32.62,46.48,11.60
,  ,18.45,47.17,26.61,-43.24,18.38,-32.62,46.48,11.60
