DD,EE,AArv_BBst_CCdl,AArv_BBst_CChm,AArv_BBst_CCnw,AAdk_BBtw_CCmx,AAdk_BBtw_CCdt,AAdk_BBtw_CChv,Maximum
DDnt,,22.36,23.66,10.69,25.01,16.35,1.80,25.01
,  EEfh,20.99,0.38,1.07,25.01,12.82,1.80,25.01
,  EEfx,22.36,18.63,10.69,23.15,16.35,1.10,23.15
,  EEdn,18.28,23.66,4.57,23.99,12.89,0.94,23.99
DDtv,,23.84,17.72,11.13,24.71,17.83,4.12,24.71
,  EEdn,23.84,1.74,11.13,24.19,17.83,4.12,24.19
,  EEmn,17.60,14.73,5.72,24.27,12.92,1.16,24.27
,  EElp,18.57,17.72,1.62,24.71,15.89,3.18,24.71
Maximum,,23.84,23.66,11.13,25.01,17.83,4.12,25.01
,  ,23.84,23.66,11.13,25.01,17.83,4.12,25.01
