Characteristic,Intensity,2019_Illinois_Baltimore,2019_Illinois_Champaign,2019_Illinois_Washington,2021_Georgia_Aberdeen,2021_Georgia_Columbus,2021_Georgia_Springfield,2022_Maryland_Albany,2022_Maryland_Columbia
Humidity,,17.45,24.09,10.32,13.38,2.85,22.43,16.18,26.59
,  Breeze,7.46,23.87,10.32,13.38,1.17,22.43,16.18,8.50
,  High,16.91,24.09,6.48,9.43,0.07,18.39,12.45,26.59
,  Low,17.45,21.15,7.31,9.48,2.85,20.11,10.99,7.42
Wind,,20.22,26.51,10.63,14.66,3.71,21.60,15.50,9.87
,  Calm,20.22,26.51,10.63,14.66,2.25,21.31,13.09,9.87
,  Medium,16.81,25.46,7.47,9.94,1.96,15.64,12.25,6.26
,  Storm,18.32,21.83,9.36,11.34,3.71,21.60,15.50,7.43
Maximum,,20.22,26.51,10.63,14.66,3.71,22.43,16.18,26.59
,  ,20.22,26.51,10.63,14.66,3.71,22.43,16.18,26.59
