DD,EE,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,Average
DDcjx,EEqz,-62.93,36.39,-1.00,-94.63,79.27,-27.90,-11.80
,EEhq,-72.83,13.21,-10.48,98.98,55.67,-39.37,7.53
,EEmz,-66.03,28.33,-5.23,-98.33,66.73,-35.01,-18.26
,EEdhv,-80.54,13.67,-16.15,93.05,49.83,-50.15,1.62
,EEkqy,-83.75,9.65,-20.02,83.39,43.23,-59.66,-4.53
DDmx,EEbhk,-74.77,13.12,-15.75,96.66,51.58,-50.16,3.45
,EEqz,-81.63,10.06,-18.39,85.14,42.82,-60.53,-3.75
,EEbkv,-67.97,28.18,-4.48,-97.28,70.23,-35.39,-17.79
,EEmz,-92.53,2.93,-27.23,82.11,39.68,-62.29,-9.55
,EEksy,-68.16,22.04,-10.41,-5.08,60.03,-36.50,-6.35
DDcy,EEmpy,-72.61,15.68,-14.81,97.20,51.02,-44.84,5.27
,EEcrv,-80.13,11.74,-17.22,92.12,42.22,-56.30,-1.26
,EEbkv,-90.22,8.00,-24.47,83.76,42.38,-60.60,-6.86
,EEjvz,-68.82,24.96,-6.05,-99.84,64.00,-35.59,-20.22
,EEkqy,-68.48,32.73,-3.93,-96.38,78.46,-29.10,-14.45
Average,,-75.43,18.05,-13.04,21.39,55.81,-45.56,-6.46
