CC,DD,AAmz_BBgqt,AAmz_BBcjx,AAmz_BBhpt,AApqr_BBbpv,AApqr_BBnqx,AApqr_BBbkv,Average
CChpx,DDlmr,-81.82,-52.55,-4.49,91.89,12.51,64.75,5.05
,DDcmp,51.55,-49.47,-11.34,-37.10,18.60,67.56,6.63
,DDkrs,-77.40,-44.71,-1.68,97.53,-89.09,73.58,-6.96
CCbt,DDcwz,50.28,-54.72,-12.98,-36.98,15.50,67.94,4.84
,DDmx,-85.34,-54.10,94.87,88.46,0.12,57.29,16.88
,DDbmz,51.48,-47.87,-4.78,91.41,23.22,-58.84,9.10
CCfnw,DDmx,51.93,-45.08,-3.03,-32.17,-94.86,-57.08,-30.05
,DDqz,51.87,74.27,-11.82,-35.69,18.63,68.72,27.66
,DDkrs,-85.89,73.33,-25.18,90.25,3.66,62.34,19.75
Average,,-8.15,-22.32,2.17,35.29,-10.19,38.47,5.88
