CC,DD,AAfnw_BBkrs,AAfnw_BBbgp,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBlt,AApqr_BBnqx,AApqr_BBqz,EE,FF
Minimum,,11.78,56.23,31.92,67.33,84.25,1.61,45.48,,
,  ,11.78,56.23,31.92,67.33,84.25,1.61,45.48,,
CCkqy,,19.13,59.47,37.31,67.33,95.59,3.57,47.04,,
,  DDbkv,28.63,67.88,44.89,80.79,95.96,11.53,49.04,EEmz,FFgqt
,  DDbsz,19.13,62.86,38.16,76.90,97.77,10.70,51.75,EEhpx,FFlmr
,  DDcwz,19.31,59.47,37.31,67.33,95.59,3.57,47.04,EEmz,FFgqt
CCcy,,18.73,57.79,33.12,69.23,85.99,3.72,47.74,,
,  DDbkv,18.73,57.79,33.12,69.23,85.99,3.72,47.74,EEhpx,FFlmr
,  DDbmz,19.73,61.57,38.20,70.99,97.78,7.97,48.73,EEmz,FFgqt
,  DDmx,27.97,60.27,44.65,76.77,99.81,12.45,53.02,EEhpx,FFlmr
CCbt,,11.78,56.23,31.92,67.73,84.25,1.61,45.48,,
,  DDhpt,19.57,60.49,38.41,67.73,96.95,7.12,47.57,EEhpx,FFlmr
,  DDmpy,18.98,62.03,41.53,77.25,99.92,10.96,52.40,EEmz,FFgqt
,  DDmx,11.78,56.23,31.92,68.84,84.25,1.61,45.48,EEmz,FFgqt
