Polluted element,Type of pollution,California_Boston_2016,California_Malibu_2022,Massachusetts_Cambridge_2016,Massachusetts_Las Vegas_2022,Massachusetts_Los-Angeles_2016,Nevada_Lenox_2022,Nevada_Reno_2016,Average
Air,,66.80,-63.25,15.62,87.34,-21.15,47.71,-57.47,10.80
,  Chemical,65.12,-69.40,9.48,86.61,-31.37,43.90,-95.53,1.26
,  Industrial,69.60,-61.24,36.65,87.23,-12.02,50.18,-85.43,12.14
,  Light,65.67,-59.11,0.72,88.18,-20.05,49.05,8.56,19.00
Soil,,69.84,-57.44,30.08,90.83,-15.84,51.27,-85.23,11.93
,  Inorganic Fertilizers,66.44,-66.60,26.80,88.52,-24.67,48.56,-86.40,7.52
,  Thermal,71.63,-54.52,23.87,91.26,-17.56,51.70,-85.56,11.54
,  Urban Activities,71.45,-51.19,39.56,92.70,-5.29,53.56,-83.74,16.72
Water,,68.75,-59.84,26.01,90.30,-18.23,49.66,-89.13,9.65
,  Inferior Irrigation,70.15,-55.97,37.94,91.88,-10.38,53.34,-86.77,14.31
,  Noise,70.00,-57.17,21.80,90.23,-18.99,47.77,-89.25,9.20
,  Oxygen-depletion,66.11,-66.36,18.30,88.79,-25.31,47.88,-91.39,5.43
