Quarter,Month,Culture_Concert,Culture_Factory,Culture_Theatre,Production_Museum,Production_Workshop,Minimum
Q1,,4.41,77.48,27.54,7.81,53.66,4.41
,  February,4.41,90.27,36.31,11.19,60.39,4.41
,  July,5.35,77.48,27.54,7.81,53.66,5.35
,  June,6.03,95.30,38.55,21.31,65.89,6.03
Q2,,3.32,72.85,22.22,12.58,44.13,3.32
,  August,6.68,86.81,34.67,13.69,58.78,6.68
,  January,5.34,94.95,37.91,18.67,59.38,5.34
,  May,3.32,72.85,22.22,12.58,44.13,3.32
Q3,,4.92,77.91,27.48,8.51,0.17,0.17
,  June,4.92,77.91,27.48,8.51,48.76,4.92
,  March,5.23,88.24,35.65,16.70,59.94,5.23
,  May,10.33,95.71,38.73,19.21,0.17,0.17
