Quarter,Month,Culture_Administration,Culture_Concert,Production_Factory,Production_Library,Service_Museum,Service_School,Service_Workshop,Minimum
Q2,June,38.73,75.70,49.51,21.87,85.56,0.26,48.96,0.26
,October,44.07,83.38,73.57,33.12,95.48,17.53,53.09,17.53
,September,39.13,79.54,63.90,27.06,89.70,10.26,50.26,10.26
Q3,December,45.28,83.07,73.43,33.78,97.64,18.18,54.40,18.18
,July,42.17,78.93,69.85,29.32,90.29,11.83,52.86,11.83
,May,38.39,77.25,60.42,26.96,87.98,3.30,0.04,0.04
Q4,April,40.82,78.99,62.35,27.23,88.15,3.55,50.85,3.55
,August,43.21,78.49,70.92,32.68,92.36,11.29,53.42,11.29
,November,38.58,85.96,73.75,36.78,99.89,19.35,56.54,19.35
Minimum,,38.39,75.70,49.51,21.87,85.56,0.26,0.04,0.04
