DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs,AAgqt_BBlsx_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCbt
DDcy,,-42.84,-54.33,-28.53,-20.06,45.69,-23.73
,  EEbkv,-91.42,-60.01,-35.53,8.92,-41.74,-71.39
,  EEmpy,-81.99,-49.31,-22.10,30.69,88.91,-63.64
,  EEcrv,44.89,-53.66,-27.96,-99.80,89.91,63.85
DDcjx,,-40.74,-8.68,-19.28,26.23,3.04,63.23
,  EEmz,50.56,80.62,-1.24,33.67,87.68,66.96
,  EEdhv,-81.35,-51.64,-25.42,29.55,-37.59,64.10
,  EEkqy,-91.43,-55.02,-31.17,15.46,-40.97,58.63
DDmx,,-2.23,-12.63,10.85,-23.72,89.54,16.93
,  EEmz,35.70,-60.17,-42.34,6.83,86.70,53.51
,  EEbhk,48.24,-50.75,-24.99,-98.93,92.13,-64.10
,  EEqz,-90.64,73.04,99.89,20.95,89.80,61.38
Average,,-28.60,-25.21,-12.32,-5.85,46.09,18.81
,  ,-28.60,-25.21,-12.32,-5.85,46.09,18.81
