DD,EE,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,Average
DDcy,,21.27,17.31,-16.60,-65.58,-61.04,12.05,18.42,-10.59
,  EEbkv,48.04,10.83,-28.09,-76.85,-96.27,-88.70,-54.21,-40.75
,  EEqz,53.13,14.96,-20.20,-67.91,-94.14,42.40,82.25,1.50
,  EEdhv,55.20,16.55,-11.33,-60.60,-92.05,46.24,84.68,5.53
,  EEmz,-71.28,26.91,-6.77,-56.95,38.29,48.28,-39.03,-8.65
DDmx,,20.01,10.70,-21.23,-33.69,-30.80,10.00,22.68,-3.19
,  EEbhk,56.96,13.22,-8.37,-57.52,34.81,-80.97,-8.65,-7.22
,  EEkqy,52.84,13.11,-25.65,-68.02,33.47,36.89,-56.49,-1.98
,  EEcrv,50.52,15.50,-20.02,-64.24,-93.21,44.39,83.16,2.30
,  EEmz,-80.28,0.98,-30.90,55.01,-98.28,39.70,72.70,-5.87
