CC,DD,AAfnw_BBknr,AAfnw_BBbgp,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,AAcqx_BBcjx,AAcqx_BBksy,AAcqx_BBgv,EE,FF
Minimum,,78.14,44.14,10.68,1.43,37.35,68.61,15.14,87.24,59.81,,
,  ,78.14,44.14,10.68,1.43,37.35,68.61,15.14,87.24,59.81,,
CCcy,,78.56,46.17,10.71,4.03,39.04,69.34,19.82,87.24,61.14,,
,  DDbkv,78.56,46.17,10.71,4.03,39.04,69.34,19.82,87.24,61.54,EEmz,FFgqt
,  DDmx,84.39,57.91,16.81,9.00,41.67,77.38,36.97,99.26,66.67,EEmz,FFgqt
,  DDhpt,82.87,52.53,13.35,7.03,41.28,73.21,29.38,95.87,61.14,EEmz,FFgqt
CCbt,,78.14,44.14,10.68,1.43,37.35,68.61,15.14,87.27,59.81,,
,  DDbmz,84.07,53.55,15.36,7.06,43.15,75.02,35.33,98.95,64.29,EEmz,FFgqt
,  DDmx,78.14,44.14,10.68,1.43,37.35,68.61,15.14,87.27,59.81,EEmz,FFgqt
,  DDcwz,81.68,46.54,13.25,5.57,41.58,69.24,28.56,88.18,62.76,EEmz,FFgqt
