Characteristic,Intensity,2015_Florida_Albany,2015_Georgia_Fort Lauderdale,2015_Nevada_Boulder City,2017_Florida_Reno,2017_Georgia_Columbus,2017_Georgia_Las Vegas,2017_Nevada_Tampa,Maximum
Humidity,,15.10,26.36,13.42,9.21,7.45,23.67,24.14,26.36
,  11-20,15.10,26.06,7.70,0.21,7.45,23.67,24.14,26.06
,  Breeze,10.84,26.36,13.42,8.08,0.12,20.78,19.64,26.36
,  Medium,13.54,22.21,0.43,9.21,4.38,21.41,20.97,22.21
Temperature,,13.37,27.95,20.27,13.39,8.77,25.16,26.45,27.95
,  Calm,10.79,27.90,16.94,8.07,2.01,20.34,20.62,27.90
,  Low,13.37,27.95,18.68,10.08,5.05,22.38,23.44,27.95
,  Storm,12.80,27.87,20.27,13.39,8.77,25.16,26.45,27.87
Wind,,12.65,26.59,19.15,10.50,5.11,23.30,23.03,26.59
,  31-40,12.65,26.59,19.15,10.50,5.11,23.30,23.03,26.59
,  High,12.21,26.22,17.90,9.97,3.81,21.57,20.24,26.22
,  Storm,9.88,23.71,13.11,7.59,0.86,20.44,18.37,23.71
