Polluted element,Type of pollution,Minnesota_Hastings_2018,Minnesota_Minneapolis_2021,Minnesota_Portland_2022,Oregon_Redmond_2018,Oregon_Rochester_2022,Average
Air,,14.03,-30.97,-21.91,13.03,-22.68,-9.70
,  Chemical,12.70,-73.97,-19.96,13.92,-21.25,-17.71
,  Inferior Irrigation,10.67,-75.59,-28.32,72.35,40.07,3.84
,  Light,18.72,56.66,-17.45,-47.18,-86.87,-15.22
Soil,,10.65,7.56,-1.39,50.91,-66.81,0.18
,  Solid Waste,6.98,43.58,-30.16,72.92,-90.87,0.49
,  Surface water,12.36,-75.03,-21.28,-0.58,-24.37,-21.78
,  Thermal,12.61,54.13,47.27,80.38,-85.20,21.84
Water,,9.28,-33.20,38.41,8.15,-45.38,-4.55
,  Groundwater,9.12,-75.88,40.22,5.82,39.66,3.79
,  Industrial,12.88,-75.50,-21.77,-49.33,-86.28,-44.00
,  Urban Activities,5.85,51.77,96.80,67.96,-89.51,26.57
