DD,EE,AAgqt_BBfnw_CCbmz,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCbpv,AApqr_BBnqx_CCprw,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCcqx
DDcjx,,24.36,17.10,27.62,16.90,5.35,24.68
,  EEkqy,6.30,11.39,25.63,9.90,2.65,20.03
,  EEmz,24.36,17.10,27.62,16.90,2.35,24.68
,  EEdhv,21.85,14.14,26.51,14.74,5.35,23.92
DDcy,,19.40,13.37,26.68,16.88,4.77,22.46
,  EEcrv,19.40,13.07,5.42,13.35,4.77,21.94
,  EEmpy,1.99,13.37,26.68,16.88,1.65,22.46
,  EEbkv,17.89,8.91,23.99,9.98,1.54,19.23
DDmx,,19.56,15.49,27.33,10.17,6.98,24.98
,  EEqz,19.56,11.51,26.53,10.17,2.60,19.03
,  EEmz,17.09,8.43,21.30,7.57,0.69,13.11
,  EEbhk,2.41,15.49,27.33,2.70,6.98,24.98
Maximum,,24.36,17.10,27.62,16.90,6.98,24.98
,  ,24.36,17.10,27.62,16.90,6.98,24.98
