DD,EE,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt
DDcy,EEmpy,89.99,34.90,-78.57,-21.35,-62.14,19.07
,EEmz,90.17,39.11,-73.00,-15.78,71.60,27.30
,EEcrv,-49.66,32.99,-91.21,-25.94,-65.14,4.68
,EEbkv,74.83,-98.72,-86.62,97.91,-70.53,1.83
DDmx,EEksy,-38.65,-90.72,50.95,-15.84,67.04,25.92
,EEmz,71.52,-99.69,-90.54,-34.22,56.46,0.96
,EEqz,78.66,-96.93,37.60,-25.60,-66.95,3.66
,EEbhk,85.36,33.78,47.23,-22.94,-63.57,16.96
DDcjx,EEdhv,82.86,34.38,46.81,-23.54,64.31,27.97
,EEhq,90.55,-91.59,50.54,-17.03,-61.08,19.81
,EEbkv,-39.01,39.81,-72.02,-9.67,71.38,28.78
,EEkqy,-55.30,-97.83,-85.25,-30.94,-67.68,1.94
