Polluted element,Type of pollution,California_Champaign_2015,California_Hastings_2018,California_Malibu_2018,Illinois_San Francisco_2015,Illinois_Springfield_2018,Minnesota_Berkeley_2018,Minnesota_Minneapolis_2015
Average,,-22.45,-18.86,19.27,49.05,-65.50,79.03,-41.62
,  ,-22.45,-18.86,19.27,49.05,-65.50,79.03,-41.62
Air,,1.14,-21.24,15.22,47.53,-58.13,75.41,-43.72
,  Chemical,-93.36,-11.74,26.33,55.83,-0.23,90.88,-32.22
,  Inorganic Fertilizers,99.54,-24.22,12.98,46.60,-77.07,69.31,-50.46
,  Oxygen-depletion,-95.69,-18.38,16.09,48.08,-68.34,81.25,-36.43
,  Thermal,94.07,-30.61,5.48,39.61,-86.88,60.18,-55.78
Soil,,-22.57,-19.25,19.97,48.75,-70.88,79.37,-42.66
,  Inferior Irrigation,-0.31,-24.60,14.66,48.05,-74.19,73.91,-50.58
,  Noise,96.52,-27.06,11.49,39.94,-82.95,63.16,-54.01
,  Surface water,-94.56,-15.42,21.59,50.46,-66.38,88.76,-34.75
,  Thermal,-91.94,-9.90,32.16,56.55,-60.00,91.64,-31.28
Water,,-45.91,-16.11,22.61,50.87,-67.50,82.32,-38.49
,  Groundwater,-94.40,-14.36,24.98,54.51,-64.11,89.66,-33.40
,  Light,97.09,-26.53,12.94,41.76,-78.28,63.94,-51.78
,  Noise,-88.97,-3.94,37.32,57.29,-56.25,93.73,-30.94
,  Solid Waste,-97.35,-19.60,15.19,49.93,-71.35,81.94,-37.85
