Characteristic,Intensity,2015_Maryland_Columbia,2015_Maryland_Salem,2015_Maryland_Tampa,2018_Oregon_Fort Lauderdale,2018_Oregon_Portland,2022_Florida_Aberdeen,2022_Florida_Redmond
Humidity,,8.54,24.25,26.84,20.31,12.70,17.76,11.18
,  11-20,2.27,4.18,26.84,20.31,12.70,11.30,8.34
,  Calm,8.54,24.25,26.59,19.54,4.46,17.76,11.18
,  High,5.82,18.50,24.54,20.16,2.30,13.20,9.46
Temperature,,3.64,26.79,27.93,25.98,15.65,11.34,27.29
,  31-40,3.21,18.28,26.16,22.16,14.56,11.34,9.30
,  Breeze,1.48,5.46,19.67,19.01,2.50,10.41,27.29
,  Medium,3.64,26.79,27.93,25.98,15.65,10.35,10.70
Wind,,3.58,19.63,27.87,20.83,14.23,13.92,10.76
,  21-30,3.58,18.14,21.24,20.07,14.23,12.42,9.36
,  Calm,0.64,4.29,27.21,15.62,11.67,6.79,6.90
,  Low,1.36,19.63,27.87,20.83,2.37,13.92,10.76
