Polluted element,Type of pollution,Illinois_Baltimore,Illinois_Champaign,Maryland_Columbia,Maryland_Springfield
Air,,-37.71,-12.15,-9.04,34.19
,  Groundwater,-80.76,-29.15,22.43,66.58
,  Inorganic Fertilizers,50.29,-3.81,46.69,86.53
,  Light,-82.67,-3.49,-96.23,-50.55
Soil,,-35.59,18.09,24.24,-16.02
,  Inferior Irrigation,-81.96,87.82,10.62,-78.51
,  Noise,53.59,-13.06,38.69,-46.44
,  Oxygen-depletion,-78.40,-20.48,23.42,76.88
Water,,47.54,-23.03,-13.83,-15.23
,  Inferior Irrigation,46.98,-11.28,-85.98,84.49
,  Inorganic Fertilizers,48.26,-38.88,16.01,-77.55
,  Thermal,47.37,-18.94,28.49,-52.64
Average,,-8.59,-5.70,0.46,0.98
,  ,-8.59,-5.70,0.46,0.98
