DD,EE,AAgqt_BBlmr_CCbmz,AAgqt_BBnqx_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AApqr_BBfnw_CCprw
DDcjx,,16.31,27.71,17.57,23.93,26.06,8.84,19.55,10.28
,  EEkqy,12.41,27.71,5.22,20.24,20.63,2.46,5.50,9.29
,  EEbkv,16.31,5.41,17.57,23.93,26.06,8.84,19.55,10.28
,  EEdhv,13.63,26.23,12.38,21.04,23.34,2.58,5.36,9.86
DDmx,,14.29,27.79,15.78,21.72,24.87,6.85,18.26,10.33
,  EEmz,9.44,27.79,9.89,19.17,18.37,0.80,16.95,2.86
,  EEbhk,14.29,27.15,15.78,21.72,24.87,6.85,18.26,10.33
,  EEqz,12.16,27.24,12.57,21.05,17.63,3.27,4.04,3.68
DDcy,,13.17,27.98,15.84,22.90,25.78,7.10,19.93,10.98
,  EEmz,3.13,26.33,15.84,22.90,25.78,7.10,19.93,10.98
,  EEbkv,11.56,27.98,6.64,7.78,19.27,1.45,16.53,9.60
,  EEcrv,13.17,27.48,12.60,21.12,15.88,4.62,17.53,9.84
Maximum,,16.31,27.98,17.57,23.93,26.06,8.84,19.93,10.98
,  ,16.31,27.98,17.57,23.93,26.06,8.84,19.93,10.98
