CC,DD,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAmz_BBbpv,AAmz_BBgqt
CChpx,,35.91,70.86,85.57,5.59,50.92,60.33,17.14
,  DDmx,48.61,80.04,95.40,10.70,58.90,67.92,31.83
,  DDlmr,35.91,70.86,85.57,5.59,50.92,61.43,17.14
,  DDcmp,42.19,73.41,89.26,8.97,52.50,60.33,21.45
CCbt,,31.97,67.39,82.87,1.77,49.50,59.54,13.30
,  DDmx,31.97,67.39,82.87,1.77,49.50,59.54,13.30
,  DDbmz,46.04,71.26,91.86,5.82,55.75,65.79,25.24
,  DDcwz,38.17,71.79,86.30,6.01,52.75,61.88,18.28
CCfnw,,34.22,69.77,84.30,4.93,49.53,60.81,17.62
,  DDgv,47.75,76.65,93.10,10.60,56.66,61.96,26.59
,  DDqz,41.30,71.45,86.40,5.44,51.86,61.64,20.95
,  DDkrs,34.22,69.77,84.30,4.93,49.53,60.81,17.62
Minimum,,31.97,67.39,82.87,1.77,49.50,59.54,13.30
,  ,31.97,67.39,82.87,1.77,49.50,59.54,13.30
