DD,EE,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBgv_CCcqx,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,Average
DDcjx,EEkqy,98.82,7.97,-34.33,-82.95,42.19,-50.12,65.10,6.67
,EEdhv,0.92,13.42,-26.53,-71.04,49.98,-45.59,69.96,-1.27
,EEhq,-4.05,17.15,-14.44,-64.09,55.88,-44.82,74.52,2.88
,EEbkv,-90.27,21.13,-2.34,-62.43,57.73,-40.00,87.39,-4.11
DDcy,EEmz,-97.53,18.83,-4.25,-62.56,58.94,-40.85,84.66,-6.11
,EEcrv,0.57,10.49,-28.50,-72.85,42.59,-45.03,67.45,-3.61
,EEmpy,0.89,17.41,-18.58,-67.55,52.37,-42.13,71.46,1.98
,EEbkv,93.84,4.37,-38.57,-82.47,40.92,-50.42,64.94,4.66
DDmx,EEmz,91.06,3.39,-37.49,-87.21,27.75,-56.63,57.05,-0.30
,EEbhk,-0.87,15.28,-23.31,-70.62,50.05,-43.17,71.98,-0.09
,EEqz,99.84,9.32,-31.24,-73.38,43.67,-48.88,67.79,9.59
,EEksy,-98.15,19.29,-9.04,-62.19,57.93,-42.98,80.42,-7.82
