DD,EE,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCprw,AApqr_BBlmr_CCcqx,AAgqt_BBnqx_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AAgqt_BBlmr_CCbmz,Maximum
DDcjx,EEmz,20.66,9.13,14.06,27.62,7.16,18.17,24.96,17.29,27.62
,EEkqy,17.75,1.28,11.11,21.39,23.72,11.58,21.13,16.38,23.72
,EEdhv,7.11,6.49,13.47,23.40,6.74,15.25,22.64,17.64,23.40
DDmx,EEmz,5.63,1.52,3.36,19.55,24.04,10.68,24.59,15.96,24.59
,EEbhk,20.09,7.52,13.82,17.58,27.10,10.19,23.57,1.22,27.10
,EEqz,19.56,4.07,11.37,21.05,6.52,12.92,21.00,16.16,21.05
DDcy,EEbkv,18.76,2.18,4.85,20.20,20.77,10.52,7.55,15.35,20.77
,EEcrv,3.41,5.41,12.03,23.06,25.97,13.26,22.65,4.45,25.97
,EEmpy,24.44,8.31,1.33,5.35,5.26,12.54,1.24,4.79,24.44
Maximum,,24.44,9.13,14.06,27.62,27.10,18.17,24.96,17.64,27.62
