Polluted element,Type of pollution,Maryland_Aberdeen,Maryland_Flint,Michigan_Baltimore,Michigan_Detroit,Michigan_Port Huron
Air,,78.53,-26.87,-15.27,-38.68,14.40
,  Chemical,69.62,30.32,-25.00,-78.98,3.30
,  Industrial,76.06,-97.40,-18.15,56.93,12.80
,  Light,79.69,41.07,-12.35,-66.37,18.48
,  Oxygen-depletion,88.76,-81.47,-5.59,-66.28,23.04
Soil,,75.02,-27.34,-18.30,-7.13,13.45
,  Inorganic Fertilizers,74.24,32.00,-23.48,55.55,10.54
,  Solid Waste,77.86,-87.59,-13.99,-67.51,17.38
,  Surface water,68.33,29.10,-27.41,-80.47,1.88
,  Thermal,79.64,-82.89,-8.34,63.91,23.99
Water,,9.83,34.85,-22.47,-8.51,10.97
,  Groundwater,-57.51,29.82,-24.48,-75.99,9.77
,  Noise,-48.62,45.41,-11.62,63.51,18.38
,  Oxygen-depletion,67.74,28.44,-37.68,48.92,-0.28
,  Urban Activities,77.71,35.73,-16.11,-70.47,16.00
Average,,54.46,-6.46,-18.68,-18.10,12.94
,  ,54.46,-6.46,-18.68,-18.10,12.94
