Polluted element,Type of pollution,California_Baltimore_2017,California_Los-Angeles_2021,California_Washington_2019,Georgia_Aberdeen_2022,Georgia_San Francisco_2019,Maryland_Columbia_2021,Maryland_Columbus_2017,Maryland_Malibu_2022,Average
Air,,80.54,8.03,-37.83,-64.06,62.93,-22.15,-13.97,35.81,6.16
,  Chemical,88.64,14.70,-22.56,-51.30,70.80,-86.13,-7.34,45.55,6.54
,  Inferior Irrigation,76.90,5.90,-41.95,-71.79,61.15,-5.48,-17.73,36.69,5.46
,  Surface water,83.26,10.32,-39.04,-57.32,65.81,-92.88,-11.41,41.27,0.00
,  Thermal,73.35,1.19,-47.78,-75.85,53.96,95.88,-19.39,19.72,12.64
Soil,,82.82,10.40,-33.80,-60.58,63.26,-19.25,-12.75,37.95,8.51
,  Groundwater,83.69,10.97,-28.61,-56.26,68.37,-89.93,-11.00,40.74,2.25
,  Noise,73.86,4.92,-44.40,-73.78,53.53,97.04,-18.15,21.76,14.35
,  Thermal,92.99,17.49,-21.78,-50.23,69.04,-83.16,-6.09,52.16,8.80
,  Urban Activities,80.75,8.24,-40.41,-62.06,62.10,-0.93,-15.77,37.15,8.63
Water,,82.18,11.13,-31.62,-60.56,64.95,-65.64,-12.30,40.53,3.58
,  Inorganic Fertilizers,82.17,9.30,-39.40,-62.99,62.67,-93.34,-17.67,40.10,-2.40
,  Light,71.36,4.04,-43.56,-72.82,58.35,-6.17,-17.71,24.35,2.23
,  Noise,92.84,18.13,-20.46,-50.68,69.46,-76.47,-5.25,53.88,10.18
,  Oxygen-depletion,82.35,13.07,-23.05,-55.74,69.33,-86.56,-8.59,43.77,4.32
